"total_name","total_value","country_name","country_total_cases","country_total_deaths","country_new_cases","country_new_deaths"
"Coronavirus Cases:","17,408,881","","","","",""
"Deaths:","674,448","","","","",""
"Recovered:","10,862,054","","","","",""
"","","USA","4,624,966","154,941","+56,929","+1,101"
"","","Brazil","2,610,102","91,263","+54,584","+1,075"
"","","India","1,639,350","35,786","+54,966","+783"
"","","Russia","834,499","13,802","+5,509","+129"
"","","South Africa","471,123","7,497","",""
"","","Mexico","408,449","45,361","+5,752","+485"
"","","Peru","400,683","18,816","",""
"","","Chile","351,575","9,377","","+99"
"","","Spain","332,510","28,443","+2,789","+2"
"","","UK","302,301","45,999","+846","+38"
"","","Iran","301,530","16,569","+2,621","+226"
"","","Pakistan","277,402","5,924","+1,114","+32"
"","","Colombia","276,055","9,454","",""
"","","Saudi Arabia","274,219","2,842","+1,629","+26"
"","","Italy","247,158","35,132","+382","+3"
"","","Bangladesh","234,889","3,083","+2,695","+48"
"","","Turkey","229,891","5,674","+967","+15"
"","","Germany","209,601","9,221","+790","+9"
"","","France","186,573","30,254","+1,377","+16"
"","","Argentina","178,996","3,311","","+23"
"","","Iraq","121,263","4,671","+2,963","+68"
"","","Canada","115,657","8,924","+187","+7"
"","","Qatar","110,460","171","+307","+2"
"","","Indonesia","106,336","5,058","+1,904","+83"
"","","Egypt","93,757","4,774","+401","+46"
"","","Philippines","89,374","1,983","+3,954","+23"
"","","Kazakhstan","87,664","793","+1,472",""
"","","Ecuador","84,370","5,657","+1,177","+34"
"","","China","84,165","4,634","+105",""
"","","Sweden","80,100","5,739","+34","+9"
"","","Oman","79,159","421","+590","+9"
"","","Bolivia","73,534","2,808","+1,207","+88"
"","","Israel","70,036","500","+1,737","+9"
"","","Ukraine","68,794","1,673","+1,197","+23"
"","","Dominican Republic","67,915","1,146","+1,733","+23"
"","","Belarus","67,665","553","+147","+5"
"","","Belgium","67,335","9,836","+673","+3"
"","","Kuwait","66,529","445","+626","+1"
"","","Panama","63,269","1,374","",""
"","","UAE","60,223","349","+302","+2"
"","","Netherlands","53,963","6,147","+342",""
"","","Singapore","51,809","27","+278",""
"","","Portugal","50,868","1,727","+255","+2"
"","","Romania","49,591","2,304","+1,356","+35"
"","","Guatemala","48,826","1,867","+1,221","+32"
"","","Poland","45,031","1,709","+615","+15"
"","","Nigeria","42,208","873","",""
"","","Honduras","40,944","1,259","+484","+45"
"","","Bahrain","40,755","146","+444","+2"
"","","Armenia","38,196","728","+259","+5"
"","","Afghanistan","36,542","1,271","+71",""
"","","Kyrgyzstan","35,223","1,364","+631","+17"
"","","Ghana","35,142","175","",""
"","","Switzerland","35,022","1,980","+220","+1"
"","","Japan","31,901","1,001","",""
"","","Azerbaijan","31,560","441","+339","+3"
"","","Algeria","29,831","1,200","+602","+14"
"","","Ireland","26,027","1,763","+85","+1"
"","","Serbia","25,213","565","+321","+7"
"","","Moldova","24,343","771","+396","+12"
"","","Morocco","23,259","346","+1,046","+12"
"","","Uzbekistan","23,078","134","+493","+3"
"","","Austria","20,955","718","+105","+2"
"","","Kenya","19,913","325","+788","+14"
"","","Nepal","19,547","52","+274","+3"
"","","Costa Rica","17,290","140","+490","+7"
"","","Cameroon","17,255","391","",""
"","","Venezuela","17,158","154","",""
"","","Ethiopia","16,615","263","+805","+10"
"","","Czechia","16,371","379","+278","+5"
"","","Australia","16,303","189","+721","+13"
"","","El Salvador","16,230","439","+389","+9"
"","","Ivory Coast","15,978","100","+165","+1"
"","","S. Korea","14,269","300","+18",""
"","","Denmark","13,725","615","+91","+1"
"","","Palestine","11,548","81","+264","+1"
"","","Sudan","11,496","725","",""
"","","Bosnia and Herzegovina","11,444","328","+317","+12"
"","","Bulgaria","11,420","374","+265","+6"
"","","Madagascar","10,748","105","+431","+6"
"","","North Macedonia","10,617","480","+114","+4"
"","","Senegal","10,106","204","+145","+4"
"","","Norway","9,185","255","+13",""
"","","DRC","9,010","215","+79","+5"
"","","Malaysia","8,964","124","+8",""
"","","French Guiana","7,728","43","+81",""
"","","Finland","7,423","329","+9",""
"","","Haiti","7,378","159","+7","+1"
"","","Tajikistan","7,366","60","+46",""
"","","Gabon","7,352","49","",""
"","","Guinea","7,242","46","+59",""
"","","Luxembourg","6,616","114","+83",""
"","","Mauritania","6,295","157","+22","+1"
"","","Zambia","5,555","149","+306","+3"
"","","Albania","5,197","154","+92","+4"
"","","Djibouti","5,081","58","",""
"","","Croatia","5,071","144","+78","+3"
"","","Paraguay","4,866","46","",""
"","","CAR","4,605","59","",""
"","","Hungary","4,484","596","+19",""
"","","Greece","4,401","203","+65",""
"","","Lebanon","4,334","57","+129","+2"
"","","Malawi","3,858","107","+120","+4"
"","","Maldives","3,719","16","+152","+1"
"","","Nicaragua","3,672","116","",""
"","","Thailand","3,304","58","+6",""
"","","Libya","3,222","76","",""
